product_name,tags,url,strain
Moonbow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/house-of-dank-fort-st/menu/moonbow-112,moonbow
Moonbow #112 3.5g,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/house-of-dank-fort-st/menu/moonbow-112-3-5g,moonbow
Pro Gro - Moonbow - Flower,Flower; Hybrid,https://weedmaps.com/dispensaries/green-tree-relief-2/menu/pro-gro-moonbow-flower-93c44ba7-463c-43b2-805d-49533185939f,moonbow
MED - Moonbow,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Hybrid; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/pure-lapeer/menu/med-moonbow-d64184fd-8ec2-4daf-9047-e46b13afb7bf,moonbow
Archive 3.5g Jar - MoonBow 112,Flower; Hybrid,https://weedmaps.com/dispensaries/urbn-leaf-seaside/menu/archive-3-5g-jar-moonbow-112,moonbow
MoonBow 112 - Indoor,,https://weedmaps.com/dispensaries/cannacruz-salinas/menu/moonbow-112-indoor,moonbow
(ADULT-USE) Pure Options | Moonbow,Flower; Hybrid,https://weedmaps.com/dispensaries/old-27-wellness-2/menu/adult-use-pure-options-moonbow-8ec4d1ac-dbfe-42b5-b31c-2499350b522e,moonbow
(MEDICAL) Pure Options | Moonbow,Flower; Hybrid,https://weedmaps.com/dispensaries/old-27-wellness-2/menu/medical-pure-options-moonbow,moonbow
Papaya Moonbow,Flower; Earthy; Flowery; Happy; Hybrid; Papaya; Relaxed; Sweet; Uplifted,https://weedmaps.com/dispensaries/aphria-riverside/menu/papaya-moonbow,moonbow
Hemma | (H) Papaya Moonbow | 2.83g,Flower; Earthy; Flowery; Happy; Hybrid; Papaya; Relaxed; Sweet; Uplifted,https://weedmaps.com/dispensaries/ohio-grown-therapies-llc/menu/hemma-h-papaya-moonbow-2-83g,moonbow
MoonBow 112 -3.5g,Flower; Hybrid,https://weedmaps.com/dispensaries/medmen-long-beach/menu/moonbow-112-3-5g,moonbow
MoonBow 112 - Indoor,,https://weedmaps.com/dispensaries/medmen-long-beach/menu/moonbow-112-indoor,moonbow
Alien Labs | Alien Labs -1g Pre Roll - Moonbow,Flower; Hybrid,https://weedmaps.com/dispensaries/one-plant/menu/alien-labs-alien-labs-1g-pre-roll-moonbow,moonbow
Alien Labs - Moonbow Single Pre-Roll (1g),Flower; Hybrid,https://weedmaps.com/dispensaries/buddha-company-2/menu/alien-labs-moonbow-single-pre-roll-1g,moonbow
Pure Options Moonbow,Flower; Indica,https://weedmaps.com/dispensaries/mt-pleasant-dispensary/menu/moonbow-4d060502-8100-40e2-999f-81dc72df97d1,moonbow
MoonBow 112 - Indoor,,https://weedmaps.com/dispensaries/pals-collective-2/menu/archive-1-8-moonbow-112,moonbow
MoonBow #112,Flower; Berry; Blueberry; Euphoric; Grape; Happy; Indica; Moonbow #112; Relaxed,https://weedmaps.com/dispensaries/archive-portland/menu/moonbow-112-48a9c808-8d02-4b71-b2ab-410ddc4a138b,moonbow
MoonBow #99,Flower; Hybrid,https://weedmaps.com/dispensaries/archive-portland/menu/moonbow-99-1194e5bb-20b2-4d6f-bc2c-9a2eb49ece83,moonbow
ARCHIVE | Archive - Moonbow 112 - (1g),Flower; Hybrid,https://weedmaps.com/dispensaries/2one2-california-street-medical-cannabis-dispensary/menu/archive-archive-moonbow-112-1g,moonbow
Archive 3.5g Jar - MoonBow 112,Flower; Hybrid,https://weedmaps.com/dispensaries/guild/menu/archive-3-5g-jar-moonbow-112,moonbow
Moonbow 75,Flower; Indica,https://weedmaps.com/dispensaries/beaver-bowls/menu/moonbow-75,moonbow
Connected | Alien Labs 1g Moonbow Preroll,Flower; Hybrid,https://weedmaps.com/dispensaries/higher-level-mmj/menu/connected-alien-labs-1g-moonbow-preroll,moonbow
